Date,Product,Region,Sales,Temperature,Rainfall,Holiday,Holiday_Name,Inventory,TransportTime,Urban
2021-01-31,Avocados,Florida,230.84,25.0,8.0,0,None,341.54,2,1
2021-01-31,Bananas,California,456.28,19.5,1.2,0,None,426.1,3,1
2021-01-31,Bananas,Florida,496.89,25.9,21.6,0,None,516.45,2,1
2021-01-31,Eggs,California,546.09,20.5,8.0,0,None,786.5,2,1
2021-01-31,Eggs,Florida,528.56,26.5,11.3,0,None,698.04,4,0
2021-01-31,Corn,California,209.1,24.1,3.3,0,None,183.44,1,1
2021-01-31,Corn,Florida,316.03,24.4,16.1,0,None,258.82,3,1
2021-01-31,Coconuts,California,100.0,19.8,17.4,0,None,84.83,3,0
2021-01-31,Coconuts,Florida,217.11,28.3,20.3,0,None,169.79,3,1
2021-02-07,Tomatoes,California,551.82,27.9,4.1,0,None,413.88,3,0
2021-02-07,Tomatoes,Florida,401.06,25.6,24.2,0,None,501.67,2,1
2021-02-07,Avocados,California,415.31,16.1,0.0,0,None,331.27,3,1
2021-02-07,Avocados,Florida,266.94,25.5,7.1,0,None,387.08,4,1
2021-02-07,Bananas,California,538.69,29.3,5.4,0,None,770.83,2,1
2021-02-07,Bananas,Florida,533.37,20.0,30.9,0,None,740.16,4,0
2021-02-07,Eggs,California,549.65,23.1,5.9,0,None,397.17,1,0
2021-02-07,Eggs,Florida,582.45,24.9,15.6,0,None,340.64,4,1
2021-02-07,Corn,California,286.56,22.3,0.0,0,None,346.21,3,0
2021-02-07,Corn,Florida,412.81,20.2,28.9,0,None,580.55,4,1
2021-02-07,Coconuts,California,122.67,18.4,15.1,0,None,155.45,3,1
2021-02-07,Coconuts,Florida,248.51,27.8,28.6,0,None,363.36,4,1
2021-02-14,Tomatoes,California,482.87,20.8,13.5,0,None,713.63,1,1
2021-02-14,Tomatoes,Florida,385.68,26.9,22.4,0,None,575.81,2,1
2021-02-14,Avocados,California,386.79,24.0,4.3,0,None,307.3,1,1
2021-02-14,Avocados,Florida,258.6,29.3,14.4,0,None,141.05,3,0
2021-02-14,Bananas,California,478.88,26.2,0.0,0,None,329.53,2,1
2021-02-14,Bananas,Florida,581.13,24.4,3.8,0,None,499.97,4,1
2021-02-14,Eggs,California,497.17,24.4,9.5,0,None,329.44,2,1
2021-02-14,Eggs,Florida,583.67,26.3,19.0,0,None,631.04,2,1
2021-02-14,Corn,California,340.07,21.9,0.0,0,None,499.88,3,1
2021-02-14,Corn,Florida,443.59,27.3,7.7,0,None,458.83,2,0
2021-02-14,Coconuts,California,204.39,24.3,5.1,0,None,128.59,3,1
2021-02-14,Coconuts,Florida,189.93,27.7,9.9,0,None,238.74,3,1
2021-02-21,Tomatoes,California,518.31,21.5,14.0,0,None,528.76,1,1
2021-02-21,Tomatoes,Florida,423.86,30.1,13.5,0,None,382.95,4,1
2021-02-21,Avocados,California,446.93,27.8,1.4,0,None,284.41,2,1
2021-02-21,Avocados,Florida,318.98,21.8,26.3,0,None,299.04,4,0
2021-02-21,Bananas,California,378.25,29.6,4.9,0,None,387.17,1,0
2021-02-21,Bananas,Florida,582.09,21.9,11.3,0,None,558.3,3,1
2021-02-21,Eggs,California,528.38,21.9,0.0,0,None,548.07,3,1
2021-02-21,Eggs,Florida,590.26,23.7,16.8,0,None,499.16,4,0
2021-02-21,Corn,California,321.95,23.8,0.0,0,None,425.55,2,1
2021-02-21,Corn,Florida,423.88,26.7,1.5,0,None,299.4,3,1
2021-02-21,Coconuts,California,117.35,20.3,6.0,0,None,139.39,2,1
2021-02-21,Coconuts,Florida,228.5,27.5,12.2,0,None,236.86,3,1
2021-02-28,Tomatoes,California,532.68,28.9,4.6,0,None,345.04,3,0
2021-02-28,Tomatoes,Florida,442.27,27.4,21.0,0,None,456.47,2,0
2021-02-28,Avocados,California,389.31,19.1,7.4,0,None,265.62,3,1
2021-02-28,Avocados,Florida,282.36,25.4,0.5,0,None,175.0,2,1
2021-02-28,Bananas,California,383.86,22.9,4.4,0,None,416.18,2,1
2021-02-28,Bananas,Florida,696.28,26.0,27.1,0,None,436.97,2,1
2021-02-28,Eggs,California,578.41,26.6,5.8,0,None,480.28,1,1
2021-02-28,Eggs,Florida,522.49,25.3,6.5,0,None,358.73,3,0
2021-02-28,Corn,California,322.83,26.8,5.8,0,None,394.79,2,0
2021-02-28,Corn,Florida,440.31,33.4,27.5,0,None,343.44,2,1
2021-02-28,Coconuts,California,141.96,18.7,0.0,0,None,87.29,2,0
2021-02-28,Coconuts,Florida,275.79,27.3,2.6,0,None,394.93,2,1
2021-03-07,Tomatoes,California,536.4,23.2,2.6,0,None,633.76,1,1
2021-03-07,Tomatoes,Florida,491.2,34.7,4.8,0,None,635.76,4,0
2021-03-07,Avocados,California,465.26,22.6,6.0,0,None,499.91,1,1
2021-03-07,Avocados,Florida,305.6,25.8,16.7,0,None,202.81,2,1
2021-03-07,Bananas,California,567.92,20.6,4.2,0,None,618.07,2,0
2021-03-07,Bananas,Florida,618.08,21.4,0.8,0,None,595.01,3,1
2021-03-07,Eggs,California,640.8,19.7,0.0,0,None,661.21,1,0
2021-03-07,Eggs,Florida,532.45,24.9,13.7,0,None,766.64,4,0
2021-03-07,Corn,California,289.42,26.0,5.5,0,None,359.3,3,0
2021-03-07,Corn,Florida,486.25,26.2,2.4,0,None,363.95,4,1
2021-03-07,Coconuts,California,200.29,21.7,13.8,0,None,120.76,1,1
2021-03-07,Coconuts,Florida,286.64,31.4,6.4,0,None,186.29,4,1
2021-03-14,Tomatoes,California,630.17,30.7,8.9,0,None,836.11,2,0
2021-03-14,Tomatoes,Florida,548.09,22.4,25.4,0,None,527.26,3,1
2021-03-14,Avocados,California,453.1,23.4,8.5,0,None,272.86,1,0
2021-03-14,Avocados,Florida,383.71,25.4,15.2,0,None,412.99,3,1
2021-03-14,Bananas,California,522.8,23.3,3.3,0,None,699.24,1,0
2021-03-14,Bananas,Florida,571.06,35.0,15.7,0,None,513.38,2,0
2021-03-14,Eggs,California,608.84,22.8,0.7,0,None,556.79,2,0
2021-03-14,Eggs,Florida,597.74,23.9,0.0,0,None,739.7,2,1
2021-03-14,Corn,California,364.23,20.1,10.5,0,None,283.22,2,1
2021-03-14,Corn,Florida,425.91,24.7,15.7,0,None,622.29,2,1
2021-03-14,Coconuts,California,189.38,28.1,2.4,0,None,153.38,2,0
2021-03-14,Coconuts,Florida,269.62,28.3,9.0,0,None,190.12,2,1
2021-03-21,Tomatoes,California,636.56,23.7,0.0,0,None,772.82,2,1
2021-03-21,Tomatoes,Florida,520.26,21.6,0.0,0,None,551.29,4,1
2021-03-21,Avocados,California,453.5,24.2,1.0,0,None,633.73,2,1
2021-03-21,Avocados,Florida,366.55,30.7,22.9,0,None,193.21,4,1
2021-03-21,Bananas,California,557.3,20.6,0.0,0,None,596.0,3,1
2021-03-21,Bananas,Florida,671.96,26.8,7.9,0,None,499.39,3,1
2021-03-21,Eggs,California,549.2,22.2,6.3,0,None,678.76,1,1
2021-03-21,Eggs,Florida,578.52,28.9,0.0,0,None,533.06,3,0
2021-03-21,Corn,California,289.05,28.3,2.9,0,None,154.42,1,1
2021-03-21,Corn,Florida,524.3,26.0,22.7,0,None,713.61,4,0
2021-03-21,Coconuts,California,174.39,26.1,5.0,0,None,243.19,1,1
2021-03-21,Coconuts,Florida,352.99,33.0,11.1,0,None,423.18,2,1
2021-03-28,Tomatoes,California,607.91,24.4,5.1,1,Easter,408.32,3,1
2021-03-28,Tomatoes,Florida,516.85,28.3,23.2,1,Easter,679.68,2,1
2021-03-28,Avocados,California,567.53,27.1,2.7,1,Easter,290.01,1,1
2021-03-28,Avocados,Florida,358.44,30.7,0.9,1,Easter,269.09,2,1
2021-03-28,Bananas,California,457.72,21.1,1.9,1,Easter,304.97,3,1
2021-03-28,Bananas,Florida,626.55,28.4,7.8,1,Easter,356.04,4,1
2021-03-28,Eggs,California,954.7,22.3,7.9,1,Easter,931.84,3,0
2021-03-28,Eggs,Florida,861.86,27.8,0.0,1,Easter,663.55,4,1
2021-03-28,Corn,California,343.47,25.3,17.8,1,Easter,286.54,2,1
2021-03-28,Corn,Florida,488.17,24.2,0.0,1,Easter,445.6,2,1
2021-03-28,Coconuts,California,146.37,23.8,7.5,1,Easter,174.87,2,1
2021-03-28,Coconuts,Florida,345.1,27.0,3.5,1,Easter,451.2,2,1
2021-04-04,Tomatoes,California,611.01,26.9,5.9,1,Easter,838.88,3,0
2021-04-04,Tomatoes,Florida,445.51,31.9,20.6,1,Easter,601.08,2,0
2021-04-04,Avocados,California,551.18,28.1,5.7,1,Easter,299.93,3,0
2021-04-04,Avocados,Florida,328.77,24.2,36.1,1,Easter,267.24,4,1
2021-04-04,Bananas,California,606.37,24.4,10.6,1,Easter,815.3,2,1
2021-04-04,Bananas,Florida,632.71,32.0,23.0,1,Easter,547.1,2,1
2021-04-04,Eggs,California,897.44,28.8,3.7,1,Easter,731.68,1,1
2021-04-04,Eggs,Florida,932.77,31.7,18.4,1,Easter,951.58,2,1
2021-04-04,Corn,California,385.17,28.2,2.4,1,Easter,377.42,1,1
2021-04-04,Corn,Florida,572.04,26.0,0.0,1,Easter,338.47,4,1
2021-04-04,Coconuts,California,177.2,27.4,3.5,1,Easter,139.5,2,1
2021-04-04,Coconuts,Florida,309.42,27.9,12.3,1,Easter,273.63,4,0
2021-04-11,Tomatoes,California,677.35,24.3,4.8,1,Easter,754.17,1,0
2021-04-11,Tomatoes,Florida,557.19,27.5,3.5,1,Easter,745.42,3,1
2021-04-11,Avocados,California,442.31,25.2,2.4,1,Easter,303.62,3,0
2021-04-11,Avocados,Florida,325.73,29.5,22.0,1,Easter,233.33,2,0
2021-04-11,Bananas,California,675.05,23.3,0.9,1,Easter,888.26,2,1
2021-04-11,Bananas,Florida,677.09,21.2,1.3,1,Easter,523.36,2,0
2021-04-11,Eggs,California,958.86,28.2,0.8,1,Easter,871.08,3,1
2021-04-11,Eggs,Florida,945.69,27.3,11.1,1,Easter,976.53,2,1
2021-04-11,Corn,California,369.29,25.6,5.0,1,Easter,362.12,1,0
2021-04-11,Corn,Florida,576.92,33.6,18.3,1,Easter,602.18,2,1
2021-04-11,Coconuts,California,222.29,25.9,9.7,1,Easter,303.94,1,1
2021-04-11,Coconuts,Florida,362.33,28.9,3.8,1,Easter,249.73,2,0
2021-04-18,Tomatoes,California,631.03,25.3,11.2,0,None,416.96,2,0
2021-04-18,Tomatoes,Florida,491.97,27.2,10.3,0,None,387.2,3,1
2021-04-18,Avocados,California,471.9,25.3,4.0,0,None,369.66,3,1
2021-04-18,Avocados,Florida,361.74,27.6,13.0,0,None,409.71,3,0
2021-04-18,Bananas,California,565.43,26.3,7.6,0,None,683.36,2,1
2021-04-18,Bananas,Florida,622.41,26.4,11.5,0,None,853.65,4,0
2021-04-18,Eggs,California,620.41,26.0,13.0,0,None,734.13,2,1
2021-04-18,Eggs,Florida,635.21,29.9,9.7,0,None,382.52,2,1
2021-04-18,Corn,California,431.76,27.8,10.8,0,None,333.87,1,0
2021-04-18,Corn,Florida,595.74,22.3,4.6,0,None,488.95,3,1
2021-04-18,Coconuts,California,175.45,29.2,4.7,0,None,257.6,2,1
2021-04-18,Coconuts,Florida,395.39,32.8,0.0,0,None,204.76,2,1
2021-04-25,Tomatoes,California,710.76,26.1,0.2,0,None,444.36,1,1
2021-04-25,Tomatoes,Florida,537.76,25.5,10.3,0,None,581.85,2,1
2021-04-25,Avocados,California,528.08,24.6,4.7,0,None,623.38,2,1
2021-04-25,Avocados,Florida,310.27,23.0,18.1,0,None,370.77,2,0
2021-04-25,Bananas,California,621.73,26.1,2.2,0,None,374.78,2,1
2021-04-25,Bananas,Florida,693.08,34.9,10.3,0,None,833.41,3,0
2021-04-25,Eggs,California,676.14,24.9,0.0,0,None,998.97,2,1
2021-04-25,Eggs,Florida,612.23,26.0,16.2,0,None,408.65,2,0
2021-04-25,Corn,California,487.87,28.8,0.0,0,None,700.19,2,1
2021-04-25,Corn,Florida,587.14,29.3,23.6,0,None,577.98,4,0
2021-04-25,Coconuts,California,269.86,25.3,15.7,0,None,276.99,2,1
2021-04-25,Coconuts,Florida,339.48,29.7,26.2,0,None,390.5,2,0
2021-05-02,Tomatoes,California,603.19,22.8,8.7,0,None,602.1,2,1
2021-05-02,Tomatoes,Florida,602.11,23.6,22.8,0,None,627.68,4,1
2021-05-02,Avocados,California,543.59,21.4,4.3,0,None,743.78,3,1
2021-05-02,Avocados,Florida,292.6,28.7,21.2,0,None,361.46,3,0
2021-05-02,Bananas,California,518.49,30.4,5.0,0,None,712.11,2,0
2021-05-02,Bananas,Florida,780.27,24.9,0.0,0,None,689.64,3,1
2021-05-02,Eggs,California,634.28,25.6,8.0,0,None,431.11,2,0
2021-05-02,Eggs,Florida,660.87,28.5,7.9,0,None,655.77,3,1
2021-05-02,Corn,California,491.05,19.5,14.6,0,None,292.3,1,1
2021-05-02,Corn,Florida,597.94,23.7,22.5,0,None,761.47,2,1
2021-05-02,Coconuts,California,242.48,23.5,0.0,0,None,230.06,2,1
2021-05-02,Coconuts,Florida,346.37,34.1,0.0,0,None,501.75,2,1
2021-05-09,Tomatoes,California,701.04,27.8,12.0,0,None,915.33,3,0
2021-05-09,Tomatoes,Florida,544.43,26.5,9.4,0,None,419.07,3,1
2021-05-09,Avocados,California,470.51,26.0,6.8,0,None,559.06,1,1
2021-05-09,Avocados,Florida,324.22,22.7,16.4,0,None,331.26,4,1
2021-05-09,Bananas,California,683.0,21.0,8.9,0,None,1003.96,1,0
2021-05-09,Bananas,Florida,614.96,25.9,5.4,0,None,899.9,4,1
2021-05-09,Eggs,California,658.95,30.1,10.7,0,None,705.48,3,0
2021-05-09,Eggs,Florida,669.11,30.6,23.2,0,None,478.87,3,1
2021-05-09,Corn,California,389.67,25.0,10.9,0,None,499.71,1,1
2021-05-09,Corn,Florida,554.51,28.2,3.5,0,None,701.56,3,1
2021-05-09,Coconuts,California,257.55,22.9,0.0,0,None,295.95,1,1
2021-05-09,Coconuts,Florida,342.13,23.5,0.0,0,None,409.0,2,1
2021-05-16,Tomatoes,California,628.05,19.8,14.5,0,None,703.1,2,1
2021-05-16,Tomatoes,Florida,600.49,28.9,12.5,0,None,808.96,2,0
2021-05-16,Avocados,California,453.83,24.3,0.0,0,None,476.25,2,0
2021-05-16,Avocados,Florida,338.02,29.3,14.7,0,None,251.31,4,1
2021-05-16,Bananas,California,613.31,19.5,3.9,0,None,685.29,1,1
2021-05-16,Bananas,Florida,655.4,29.9,5.7,0,None,681.06,3,1
2021-05-16,Eggs,California,636.15,26.6,1.3,0,None,433.31,3,0
2021-05-16,Eggs,Florida,659.1,25.4,17.0,0,None,524.17,2,1
2021-05-16,Corn,California,491.48,23.5,3.4,0,None,556.93,3,1
2021-05-16,Corn,Florida,574.33,27.7,34.4,0,None,628.06,3,1
2021-05-16,Coconuts,California,182.38,29.0,0.0,0,None,233.55,2,0
2021-05-16,Coconuts,Florida,351.9,28.3,20.8,0,None,460.82,4,1
2021-05-23,Tomatoes,California,769.82,19.6,9.3,0,None,1049.11,3,1
2021-05-23,Tomatoes,Florida,512.16,25.0,3.1,0,None,374.0,4,1
2021-05-23,Avocados,California,493.92,19.2,6.2,0,None,734.85,3,1
2021-05-23,Avocados,Florida,460.57,24.8,31.5,0,None,435.61,2,1
2021-05-23,Bananas,California,638.16,21.7,0.0,0,None,369.76,1,0
2021-05-23,Bananas,Florida,715.8,24.9,2.4,0,None,520.14,2,1
2021-05-23,Eggs,California,707.99,22.7,4.1,0,None,807.23,2,1
2021-05-23,Eggs,Florida,677.0,23.4,19.9,0,None,647.79,3,1
2021-05-23,Corn,California,506.41,24.6,3.2,0,None,537.96,1,1
2021-05-23,Corn,Florida,572.35,23.7,18.8,0,None,592.86,3,1
2021-05-23,Coconuts,California,150.25,21.8,2.9,0,None,176.03,2,1
2021-05-23,Coconuts,Florida,404.63,27.9,15.9,0,None,448.52,3,1
2021-05-30,Tomatoes,California,620.67,19.3,0.0,0,None,458.71,1,1
2021-05-30,Tomatoes,Florida,486.11,23.0,0.0,0,None,535.01,4,1
2021-05-30,Avocados,California,526.16,27.0,0.0,0,None,526.77,1,1
2021-05-30,Avocados,Florida,402.88,25.0,24.9,0,None,555.17,3,0
2021-05-30,Bananas,California,597.44,21.5,4.4,0,None,312.4,3,1
2021-05-30,Bananas,Florida,739.9,26.4,13.1,0,None,844.21,2,1
2021-05-30,Eggs,California,615.73,22.2,2.0,0,None,860.95,2,1
2021-05-30,Eggs,Florida,683.85,18.7,13.9,0,None,442.02,2,1
2021-05-30,Corn,California,474.79,12.7,6.6,0,None,606.17,1,0
2021-05-30,Corn,Florida,572.9,25.2,19.6,0,None,774.25,2,1
2021-05-30,Coconuts,California,173.5,26.6,12.9,0,None,120.02,1,1
2021-05-30,Coconuts,Florida,305.6,24.6,9.1,0,None,189.9,3,1
2021-06-06,Tomatoes,California,675.73,19.6,15.3,0,None,492.54,1,1
2021-06-06,Tomatoes,Florida,607.67,28.7,0.0,0,None,624.1,4,0
2021-06-06,Avocados,California,487.81,26.3,1.3,0,None,500.25,2,0
2021-06-06,Avocados,Florida,403.51,28.5,21.6,0,None,206.2,3,1
2021-06-06,Bananas,California,698.68,21.2,16.4,0,None,481.88,1,1
2021-06-06,Bananas,Florida,725.81,25.8,19.8,0,None,442.55,4,1
2021-06-06,Eggs,California,641.88,22.2,13.5,0,None,626.49,1,1
2021-06-06,Eggs,Florida,651.79,24.9,24.3,0,None,949.15,2,0
2021-06-06,Corn,California,401.04,25.4,4.6,0,None,302.65,2,0
2021-06-06,Corn,Florida,657.03,28.3,6.9,0,None,870.66,4,1
2021-06-06,Coconuts,California,239.59,24.7,4.5,0,None,244.0,3,1
2021-06-06,Coconuts,Florida,379.49,25.8,16.6,0,None,207.9,2,0
2021-06-13,Tomatoes,California,694.04,23.5,0.0,0,None,667.63,3,0
2021-06-13,Tomatoes,Florida,542.11,22.2,0.0,0,None,569.0,3,0
2021-06-13,Avocados,California,536.83,19.5,1.1,0,None,378.83,1,1
2021-06-13,Avocados,Florida,404.12,24.8,13.7,0,None,589.95,4,1
2021-06-13,Bananas,California,699.54,27.2,12.0,0,None,809.0,3,1
2021-06-13,Bananas,Florida,709.03,26.1,5.8,0,None,421.88,4,1
2021-06-13,Eggs,California,645.98,20.7,9.8,0,None,759.66,3,0
2021-06-13,Eggs,Florida,674.43,21.4,24.0,0,None,887.51,4,0
2021-06-13,Corn,California,442.21,16.8,2.0,0,None,653.75,2,0
2021-06-13,Corn,Florida,598.72,27.4,26.6,0,None,405.59,3,0
2021-06-13,Coconuts,California,237.63,16.6,5.5,0,None,281.66,3,0
2021-06-13,Coconuts,Florida,380.39,21.8,14.4,0,None,320.43,3,1
2021-06-20,Tomatoes,California,640.17,29.0,11.6,0,None,761.09,3,1
2021-06-20,Tomatoes,Florida,435.41,24.4,25.9,0,None,287.74,3,1
2021-06-20,Avocados,California,520.44,18.4,15.2,0,None,366.41,2,0
2021-06-20,Avocados,Florida,320.45,26.3,27.6,0,None,380.66,2,1
2021-06-20,Bananas,California,678.07,21.4,10.4,0,None,346.51,1,0
2021-06-20,Bananas,Florida,686.04,20.6,4.6,0,None,445.16,4,1
2021-06-20,Eggs,California,647.86,21.2,16.6,0,None,829.52,2,1
2021-06-20,Eggs,Florida,642.49,20.7,0.0,0,None,768.18,2,1
2021-06-20,Corn,California,406.67,20.0,1.6,0,None,558.87,1,1
2021-06-20,Corn,Florida,491.1,25.3,8.8,0,None,521.3,3,1
2021-06-20,Coconuts,California,279.97,25.9,3.8,0,None,334.68,2,0
2021-06-20,Coconuts,Florida,377.1,26.6,10.8,0,None,384.76,2,1
2021-06-27,Tomatoes,California,763.31,15.0,9.0,1,Independence Day,838.29,3,0
2021-06-27,Tomatoes,Florida,659.87,21.8,27.2,1,Independence Day,444.41,3,1
2021-06-27,Avocados,California,581.27,21.4,15.1,1,Independence Day,513.75,1,0
2021-06-27,Avocados,Florida,399.93,25.4,2.8,1,Independence Day,591.76,4,1
2021-06-27,Bananas,California,726.96,15.3,11.0,1,Independence Day,551.98,2,1
2021-06-27,Bananas,Florida,781.5,22.4,0.0,1,Independence Day,766.58,2,1
2021-06-27,Eggs,California,985.78,20.4,10.4,1,Independence Day,982.29,1,0
2021-06-27,Eggs,Florida,1007.77,23.1,13.1,1,Independence Day,905.82,2,0
2021-06-27,Corn,California,500.24,17.9,11.2,1,Independence Day,374.95,2,1
2021-06-27,Corn,Florida,715.62,23.0,23.7,1,Independence Day,469.72,4,1
2021-06-27,Coconuts,California,178.26,23.3,13.1,1,Independence Day,93.02,3,0
2021-06-27,Coconuts,Florida,417.7,26.6,17.6,1,Independence Day,230.68,3,0
2021-07-04,Tomatoes,California,723.65,21.7,3.3,1,Independence Day,1065.22,1,1
2021-07-04,Tomatoes,Florida,770.05,21.5,15.9,1,Independence Day,911.55,2,1
2021-07-04,Avocados,California,567.99,20.5,11.9,1,Independence Day,330.41,2,0
2021-07-04,Avocados,Florida,473.87,20.7,15.3,1,Independence Day,551.67,2,1
2021-07-04,Bananas,California,566.01,17.0,13.1,1,Independence Day,318.25,2,0
2021-07-04,Bananas,Florida,902.01,22.1,16.9,1,Independence Day,1160.24,4,0
2021-07-04,Eggs,California,1064.0,20.8,11.8,1,Independence Day,703.96,2,1
2021-07-04,Eggs,Florida,991.39,25.0,17.2,1,Independence Day,1261.06,4,1
2021-07-04,Corn,California,522.59,17.9,6.2,1,Independence Day,678.51,3,1
2021-07-04,Corn,Florida,644.68,22.7,29.0,1,Independence Day,822.36,4,1
2021-07-04,Coconuts,California,301.14,17.9,5.3,1,Independence Day,344.11,3,0
2021-07-04,Coconuts,Florida,377.75,20.3,18.7,1,Independence Day,451.76,3,1
2021-07-11,Tomatoes,California,740.19,18.2,5.8,1,Independence Day,696.02,2,0
2021-07-11,Tomatoes,Florida,651.95,20.9,29.8,1,Independence Day,970.38,2,0
2021-07-11,Avocados,California,608.97,23.7,4.7,1,Independence Day,312.16,1,1
2021-07-11,Avocados,Florida,379.57,21.9,5.8,1,Independence Day,559.28,2,1
2021-07-11,Bananas,California,712.09,21.6,5.1,1,Independence Day,939.43,2,1
2021-07-11,Bananas,Florida,714.65,26.0,23.9,1,Independence Day,429.25,2,1
2021-07-11,Eggs,California,1019.68,20.7,12.8,1,Independence Day,953.91,2,0
2021-07-11,Eggs,Florida,975.78,24.8,22.2,1,Independence Day,735.72,2,1
2021-07-11,Corn,California,470.29,23.0,8.3,1,Independence Day,317.39,1,1
2021-07-11,Corn,Florida,706.85,22.8,12.5,1,Independence Day,965.83,4,1
2021-07-11,Coconuts,California,285.3,15.4,14.2,1,Independence Day,332.37,2,1
2021-07-11,Coconuts,Florida,428.46,22.4,7.0,1,Independence Day,376.83,3,0
2021-07-18,Tomatoes,California,455.02,21.3,8.5,0,None,564.18,2,0
2021-07-18,Tomatoes,Florida,465.18,24.2,12.3,0,None,685.11,4,0
2021-07-18,Avocados,California,471.65,17.2,14.5,0,None,288.92,2,1
2021-07-18,Avocados,Florida,286.46,22.7,17.1,0,None,156.44,2,1
2021-07-18,Bananas,California,616.16,14.0,5.9,0,None,766.01,3,0
2021-07-18,Bananas,Florida,560.92,24.3,28.3,0,None,613.21,2,0
2021-07-18,Eggs,California,687.61,25.6,8.7,0,None,638.92,3,0
2021-07-18,Eggs,Florida,694.69,23.3,30.9,0,None,391.55,2,1
2021-07-18,Corn,California,404.52,20.7,14.5,0,None,376.37,2,1
2021-07-18,Corn,Florida,644.39,24.6,33.0,0,None,897.32,2,1
2021-07-18,Coconuts,California,198.19,20.7,14.1,0,None,233.15,2,0
